ImageId;YRelW;XRelH;utility
289;0.897101;0.692308;0.899990
289;0.534783;0.591941;0.743474
290;0.136957;0.771795;0.799980
290;0.687681;0.716850;0.799980
290;0.202174;0.591941;0.743874
290;0.683333;0.712821;0.599960
290;0.965217;0.433333;0.534753
291;0.355797;0.715751;0.799980
291;0.797826;0.386813;0.899990
291;0.347826;0.712088;0.599960
292;0.868841;0.654212;0.633263
292;0.755072;0.471062;0.552855
292;0.116667;0.734799;0.899990
292;0.518841;0.387912;0.899990
293;0.536232;0.654579;0.634063
293;0.222464;0.385714;0.899990
294;0.203623;0.654212;0.834083
294;0.940580;0.667399;0.553555
295;0.661594;0.658242;0.799980
296;0.931159;0.769597;0.939494
296;0.328986;0.658242;0.799980
297;0.618841;0.768498;0.952295
297;0.947826;0.469231;0.929193
297;0.054348;0.654945;0.951395
298;0.286957;0.768132;0.950895
298;0.623913;0.468132;0.934893
298;0.706522;0.739927;0.957796
298;0.707971;0.453480;0.929393
299;0.289855;0.468498;0.934093
299;0.373188;0.741026;0.957296
299;0.375362;0.453480;0.929593
299;0.018841;0.772894;0.709571
299;0.841304;0.749451;1.000000
299;0.960145;0.432234;0.837284
300;0.044928;0.454212;0.929293
300;0.057971;0.741758;0.941394
300;0.518116;0.749451;1.000000
300;0.733333;0.433333;0.899990
301;0.868841;0.395971;0.955096
301;0.756522;0.676557;0.786179
301;0.184783;0.749817;1.000000
301;0.397826;0.433333;0.899990
301;0.884058;0.656777;0.673767
302;0.812319;0.767399;0.963896
302;0.535507;0.395604;0.954495
302;0.423913;0.675824;0.882988
302;0.896377;0.205128;0.886189
302;0.102174;0.432234;1.000000
302;0.551449;0.657509;0.675468
302;0.184783;0.683883;0.699970
303;0.478261;0.767399;0.963296
303;0.202174;0.395604;0.954495
303;0.100725;0.674359;0.779378
303;0.646377;0.205128;1.000000
303;0.938406;0.795238;0.645365
303;0.218841;0.657143;0.774277
304;0.144928;0.767399;0.963296
304;0.314493;0.205128;1.000000
305;0.080435;0.202198;0.952295
305;0.285507;0.794872;0.555056
306;0.167391;0.743590;0.599960
309;0.842754;0.762271;0.888489
310;0.510145;0.761905;0.789679
311;0.177536;0.758974;0.896890
313;0.965942;0.715018;0.934293
313;0.722464;0.424908;1.000000
314;0.744203;0.736996;1.000000
314;0.391304;0.423810;1.000000
314;0.949275;0.399267;0.724472
315;0.411594;0.736630;1.000000
315;0.091304;0.420147;1.000000
315;0.657971;0.401099;0.850085
316;0.114493;0.740293;1.000000
316;0.324638;0.400000;0.950695
317;0.042029;0.401099;0.624162
319;0.777536;0.719414;0.992699
320;0.444928;0.719414;0.991899
321;0.740580;0.388278;0.946095
321;0.113043;0.719414;0.993399
322;0.407246;0.388278;0.946095
322;0.895652;0.382418;0.883688
323;0.073913;0.387546;0.947095
323;0.590580;0.382784;0.599960
324;0.257246;0.382418;0.699970
325;0.834783;0.442491;0.785779
326;0.502899;0.442857;0.586459
327;0.027536;0.676923;0.822882
327;0.169565;0.442491;0.685769
328;0.878261;0.675092;0.699970
329;0.021014;0.720513;0.512351
329;0.864493;0.688278;1.000000
329;0.763768;0.322711;0.964696
329;0.551449;0.673260;0.799980
330;0.560870;0.688278;1.000000
330;0.429710;0.323077;0.964396
330;0.219565;0.676190;0.599960
331;0.226812;0.688645;1.000000
331;0.096377;0.323443;0.963996
331;0.799275;0.753846;1.000000
332;0.768116;0.384615;0.932793
332;0.036232;0.686813;0.835784
332;0.466667;0.752381;1.000000
332;0.841304;0.436996;0.899990
333;0.831884;0.785714;0.952395
333;0.434783;0.384249;0.933293
333;0.900725;0.478388;0.941194
333;0.918841;0.253480;0.980798
